LandisData	"Ecoregions"		

>> 	Map Code		
>>Active	Name	Description
>>--------------------------------------------------------			
yes	887	CLIM0887	2
yes	888	CLIM0888	3
yes	889	CLIM0889	1
yes	890	CLIM0890	2
yes	891	CLIM0891	3
yes	892	CLIM0892	1
yes	893	CLIM0893	2
yes	894	CLIM0894	3
yes	895	CLIM0895	1
yes	896	CLIM0896	2
yes	897	CLIM0897	3
yes	898	CLIM0898	1
yes	899	CLIM0899	2
yes	900	CLIM0900	3
yes	901	CLIM0901	1
yes	902	CLIM0902	2
yes	903	CLIM0903	3
yes	904	CLIM0904	1
yes	905	CLIM0905	2
yes	906	CLIM0906	3
yes	907	CLIM0907	1
yes	908	CLIM0908	2
yes	909	CLIM0909	3
yes	910	CLIM0910	1
yes	911	CLIM0911	2
yes	912	CLIM0912	3
yes	913	CLIM0913	1
yes	914	CLIM0914	2
yes	915	CLIM0915	3
yes	916	CLIM0916	1
yes	917	CLIM0917	2
yes	918	CLIM0918	3
yes	919	CLIM0919	1
yes	920	CLIM0920	2
yes	921	CLIM0921	3
yes	922	CLIM0922	1
yes	923	CLIM0923	2
yes	924	CLIM0924	3
yes	925	CLIM0925	1
yes	926	CLIM0926	2
yes	927	CLIM0927	3
yes	928	CLIM0928	1
yes	929	CLIM0929	2
yes	930	CLIM0930	3
yes	931	CLIM0931	1
yes	932	CLIM0932	2
yes	933	CLIM0933	3
yes	934	CLIM0934	1
yes	935	CLIM0935	2
yes	936	CLIM0936	3
yes	937	CLIM0937	1
yes	938	CLIM0938	2
yes	939	CLIM0939	3
yes	940	CLIM0940	1
yes	941	CLIM0941	2
yes	942	CLIM0942	3
yes	943	CLIM0943	1
yes	944	CLIM0944	2
yes	945	CLIM0945	3
yes	946	CLIM0946	1
yes	947	CLIM0947	2
yes	948	CLIM0948	3
yes	949	CLIM0949	1
yes	950	CLIM0950	2
yes	951	CLIM0951	3
yes	952	CLIM0952	1
yes	953	CLIM0953	2
yes	954	CLIM0954	3
yes	955	CLIM0955	1
yes	956	CLIM0956	2
yes	957	CLIM0957	3
yes	958	CLIM0958	1
yes	959	CLIM0959	2
yes	960	CLIM0960	3
yes	961	CLIM0961	1
yes	962	CLIM0962	2
yes	963	CLIM0963	3
yes	964	CLIM0964	1
yes	965	CLIM0965	2
yes	966	CLIM0966	3
yes	967	CLIM0967	1
yes	968	CLIM0968	2
yes	969	CLIM0969	3
yes	970	CLIM0970	1
yes	971	CLIM0971	2
yes	972	CLIM0972	3
yes	973	CLIM0973	1
yes	974	CLIM0974	2
yes	975	CLIM0975	3
yes	976	CLIM0976	1
yes	977	CLIM0977	2
yes	978	CLIM0978	3
yes	979	CLIM0979	1
