,SpeciesName,MapCode,CohortAge,CohortBiomass,Trees_a1,Trees_a2,Trees_a3,DBH_a1,DBH_a2,DBH_a3,Height_a1,Height_a2,Height_a3,Spatial_a1,Spatial_a2,Spatial_a3,Crown_a1,Crown_a2,Crown_a3,number_trees,height,crown_width,spatial_contagion,Age_class
95,SugarMaple,1050066,90,1266,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,237,102,23,0.144,2
100,SugarMaple,1051169,90,1340,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,238,104,23,0.144,2
79,SugarMaple,1048969,100,5335,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,335,140,27,0.16,2
86,SugarMaple,1048970,100,5143,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,331,199,27,0.16,2
91,SugarMaple,1050066,100,1452,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,242,111,24,0.16,2
98,SugarMaple,1051169,100,1536,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,244,113,24,0.16,2
80,SugarMaple,1048969,110,7489,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,388,140,30,0.176,2
87,SugarMaple,1048970,110,6521,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,365,140,29,0.176,2
81,SugarMaple,1048969,120,11824,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,493,140,35,0.192,2
92,SugarMaple,1048970,120,10454,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,460,140,34,0.192,2
101,WhiteAsh,1048970,120,2212,99.11,-0.53,0.017,0,0,0,23.5,0.69,0.003,0,0.0003,0.1963,10.5,0.12,0.0027,73,144,31,0.036,2
102,WhiteAsh,1048969,120,1712,99.11,-0.53,0.017,0,0,0,23.5,0.69,0.003,0,0.0003,0.1963,10.5,0.12,0.0027,65,135,30,0.036,2
105,WhiteCedar,1050066,90,1996,240.466,1.96,0.108,0,0,0,29.815,0.0858,0.0056,0,0.0003,0.1963,9.58,0.01,0.001,632,55,12,0.027,2
108,WhiteCedar,1051169,90,2099,240.466,1.96,0.108,0,0,0,29.815,0.0858,0.0056,0,0.0003,0.1963,9.58,0.01,0.001,644,55,13,0.027,2
106,WhiteCedar,1051169,100,2623,240.466,1.96,0.108,0,0,0,29.815,0.0858,0.0056,0,0.0003,0.1963,9.58,0.01,0.001,720,55,13,0.03,2
110,WhiteCedar,1050066,100,2507,240.466,1.96,0.108,0,0,0,29.815,0.0858,0.0056,0,0.0003,0.1963,9.58,0.01,0.001,707,55,13,0.03,2
107,WhiteCedar,1051169,110,3395,240.466,1.96,0.108,0,0,0,29.815,0.0858,0.0056,0,0.0003,0.1963,9.58,0.01,0.001,823,55,14,0.033,2
109,WhiteCedar,1050066,110,3262,240.466,1.96,0.108,0,0,0,29.815,0.0858,0.0056,0,0.0003,0.1963,9.58,0.01,0.001,808,55,14,0.033,2
103,WhiteCedar,1051169,120,1919,240.466,1.96,0.108,0,0,0,29.815,0.0858,0.0056,0,0.0003,0.1963,9.58,0.01,0.001,683,55,13,0.036,2
104,WhiteCedar,1050066,120,1830,240.466,1.96,0.108,0,0,0,29.815,0.0858,0.0056,0,0.0003,0.1963,9.58,0.01,0.001,673,55,13,0.036,2
111,WhiteOaks,1050066,1,5,99.25,0.393,0.000558,0,0,0,32.3,0.31,0.003,0,0.0003,0.1963,14.1,0.08,0.003,100,33,14,0.0003,1
112,WhiteOaks,1051169,11,6,99.25,0.393,0.000558,0,0,0,32.3,0.31,0.003,0,0.0003,0.1963,14.1,0.08,0.003,104,36,15,0.0033,1
118,WhitePine,1048970,1,5,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,145,27,9,0.0003,1
129,WhitePine,1050066,21,274,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,143,39,11,0.0063,1
115,WhitePine,1050065,80,1995,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,151,87,18,0.024,2
116,WhitePine,1048971,80,3622,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,174,110,20,0.024,2
119,WhitePine,1050064,80,540,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,131,67,17,0.024,2
124,WhitePine,1051168,80,1974,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,151,87,18,0.024,2
126,WhitePine,1051167,80,544,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,131,67,17,0.024,2
117,WhitePine,1048971,90,4744,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,187,130,22,0.027,2
120,WhitePine,1050064,90,885,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,133,75,18,0.027,2
121,WhitePine,1051168,90,2589,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,157,99,20,0.027,2
122,WhitePine,1050066,90,1802,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,146,88,19,0.027,2
123,WhitePine,1051169,90,1899,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,147,90,19,0.027,2
127,WhitePine,1050065,90,2617,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,157,100,20,0.027,2
128,WhitePine,1051167,90,891,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,133,76,18,0.027,2
114,WhitePine,1048971,100,4715,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,184,133,23,0.03,2
113,WhitePine,1051169,130,2357,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,143,112,23,0.039,2
125,WhitePine,1050066,130,2242,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001,141,111,23,0.039,2
132,WhiteSpruce,1050066,120,798,101.36,-0.305,0.1212,0,0,0,26.3,0.28,0.005,0,0.0003,0.1963,10.5,0.04,0.001,161,157,16,0.036,2
133,WhiteSpruce,1051169,120,798,101.36,-0.305,0.1212,0,0,0,26.3,0.28,0.005,0,0.0003,0.1963,10.5,0.04,0.001,161,157,16,0.036,2
130,WhiteSpruce,1050066,160,1015,101.36,-0.305,0.1212,0,0,0,26.3,0.28,0.005,0,0.0003,0.1963,10.5,0.04,0.001,176,194,18,0.048,3
131,WhiteSpruce,1051169,160,1015,101.36,-0.305,0.1212,0,0,0,26.3,0.28,0.005,0,0.0003,0.1963,10.5,0.04,0.001,176,194,18,0.048,3
